97,The Missing,SonR,"$27,011,180 ","2,756","$10,833,633 ","2,756",26-Nov,16-Feb
98,Basic,Sony,"$26,793,311 ","2,876","$11,511,960 ","2,876",28-Mar,15-May
99,A Man Apart,NL,"$26,736,098 ","2,495","$11,019,224 ","2,459",4-Apr,10-Jul
100,Sinbad: Legend of the Seven Seas,DW,"$26,483,452 ","3,086","$6,874,477 ","3,086",2-Jul,9-Oct
101,Dumb and Dumberer: When Harry Met Lloyd,NL,"$26,276,465 ","2,609","$10,845,064 ","2,609",13-Jun,21-Aug
102,Bulletproof Monk,MGM,"$23,358,708 ","2,955","$8,653,542 ","2,955",16-Apr,31-Jul
103,Piglet's Big Movie,BV,"$23,103,423 ","2,084","$6,097,758 ","2,084",21-Mar,29-May
104,Dickie Roberts: Former Child Star,Par.,"$22,738,671 ","2,083","$6,660,540 ","2,026",5-Sep,27-Nov
105,Adaptation.,Sony,"$22,498,520 ",672,"$384,478 ",7,14-Feb,22-May
106,The Medallion,TriS,"$22,219,192 ","2,652","$8,111,324 ","2,648",22-Aug,13-Nov
107,Biker Boyz,DW,"$22,076,772 ","1,769","$10,106,992 ","1,766",31-Jan,19-Jun
108,Love Don't Cost a Thing,WB,"$21,924,226 ","1,844","$6,315,311 ","1,844",12-Dec,11-Mar
109,Cold Creek Manor,BV,"$21,386,011 ","2,035","$8,190,574 ","2,035",19-Sep,4-Dec
110,Cabin Fever,Lions,"$21,158,188 ","2,105","$8,633,585 ","2,087",12-Sep,4-Dec
111,Antwone Fisher,FoxS,"$21,078,145 ","1,021","$210,013 ",15,10-Jan,15-May
112,Looney Tunes: Back in Action,WB,"$20,991,364 ","2,903","$9,317,371 ","2,903",14-Nov,1-Feb
113,The In-Laws,WB,"$20,453,431 ","2,652","$7,319,848 ","2,652",23-May,31-Jul
114,Down with Love,Fox,"$20,305,251 ","2,123","$45,029 ",1,16-May,31-Jul
115,The Life of David Gale,Uni.,"$19,955,598 ","2,003","$7,117,225 ","2,002",21-Feb,8-May
116,Timeline,Par.,"$19,481,943 ","2,787","$8,440,629 ","2,787",26-Nov,19-Feb
117,A Mighty Wind,WB,"$17,781,006 ",770,"$2,112,140 ",133,9-May,28-Aug
118,Deliver Us from Eva,Focus,"$17,573,594 ","1,139","$6,648,374 ","1,139",7-Feb,18-May
119,Confessions of a Dangerous Mind,Mira.,"$16,007,718 ","1,776","$87,199 ",4,24-Jan,4-Sep
120,View from the Top,Mira.,"$15,614,000 ","2,508","$7,009,513 ","2,508",21-Mar,18-May
121,My Boss's Daughter,Dim.,"$15,550,605 ","2,206","$4,855,798 ","2,201",22-Aug,13-Nov
122,A Guy Thing,MGM,"$15,545,431 ","2,520","$6,988,749 ","2,515",17-Jan,10-Apr
123,Wrong Turn,Fox,"$15,418,790 ","1,615","$5,161,498 ","1,615",30-May,25-Sep
124,Alex and Emma,WB,"$14,218,698 ","2,310","$6,111,074 ","2,310",20-Jun,14-Aug
125,How to Deal,NL,"$14,195,227 ","2,319","$5,809,960 ","2,319",18-Jul,21-Aug
126,Gods and Generals,WB,"$12,882,934 ","1,533","$4,675,246 ","1,533",21-Feb,4-May
127,"House of 1,000 Corpses",Lions,"$12,634,962 ",847,"$3,460,666 ",595,18-Apr,10-Jul
128,Confidence,Lions,"$12,251,640 ","1,871","$4,563,588 ","1,871",25-Apr,26-Jun
129,Narc,Par.,"$10,465,659 ",822,"$63,303 ",6,10-Jan,20-Mar
130,House of the Dead,Art.,"$10,249,719 ","1,540","$5,683,280 ","1,520",10-Oct,20-Nov
131,Spirited Away,BV,"$10,055,859 ",714,"$449,839 ",26,28-Mar,4-Sep
132,Duplex,Mira.,"$9,692,135 ","2,191","$4,617,128 ","2,189",26-Sep,25-Dec
133,Dark Blue,UA,"$9,250,301 ","2,176","$3,880,688 ","2,176",21-Feb,1-May
134,Le Divorce,FoxS,"$9,081,057 ",701,"$516,834 ",34,29-Aug,30-Oct
135,Boat Trip,Art.,"$8,600,126 ","1,803","$3,815,075 ","1,714",21-Mar,8-May
136,Tupac: Resurrection,Par.,"$7,718,961 ",804,"$4,632,847 ",801,14-Nov,25-Dec
137,The Order,Fox,"$7,660,806 ","1,975","$4,438,899 ","1,975",5-Sep,30-Oct
138,It Runs in the Family,MGM,"$7,491,839 ","1,207","$2,804,441 ","1,207",25-Apr,17-Jul
139,Willard,NL,"$6,886,089 ","1,762","$4,010,593 ","1,761",14-Mar,8-May
140,Gigli,SonR,"$6,087,542 ","2,215","$3,753,518 ","2,215",1-Aug,21-Aug
141,Grind,WB,"$5,123,696 ","2,253","$2,511,403 ","2,253",15-Aug,18-Sep
142,From Justin to Kelly,Fox,"$4,928,883 ","2,001","$2,715,848 ","2,001",20-Jun,24-Jul
143,In the Cut,SGem,"$4,750,602 ",825,"$97,625 ",6,31-Oct,27-Nov
144,Beyond Borders,Par.,"$4,430,101 ","1,798","$2,076,402 ","1,798",24-Oct,27-Nov
145,The Real Cancun,NL,"$3,825,421 ","2,261","$2,108,796 ","2,261",25-Apr,22-May
146,Anything Else,DW,"$3,212,310 ","1,033","$1,673,125 ","1,033",19-Sep,16-Oct
147,DysFunKtional Family,Mira.,"$2,255,000 ",602,"$1,079,797 ",602,4-Apr,18-May
148,Marci X,Par.,"$1,648,818 ","1,200","$872,950 ","1,200",22-Aug,18-Sep
